AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key,sales,baskets,active_weeks,avg_basket_value
45-54,U,15-24K,Unknown,Single Male,1,None/Unknown,1423,1695.76,189,78,8.972275132275133
45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,1748,5161.7800000000025,247,84,20.897894736842115
35-44,B,75-99K,Homeowner,Single Male,1,None/Unknown,139,3073.3300000000004,83,51,37.02807228915663
25-34,A,35-49K,Homeowner,2 Adults Kids,3,1,1693,8354.550000000007,164,82,50.942378048780526
19-24,B,Under 15K,Renter,1 Adult Kids,4,3+,1631,10427.210000000012,353,88,29.538838526912215
45-54,U,25-34K,Unknown,Single Female,1,None/Unknown,127,4658.2300000000005,191,70,24.3886387434555
45-54,U,75-99K,Homeowner,Unknown,1,None/Unknown,867,6088.840000000006,182,86,33.455164835164865
19-24,B,50-74K,Unknown,2 Adults Kids,3,1,1425,3828.6000000000004,131,66,29.225954198473286
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,1572,2544.4100000000008,52,32,48.93096153846155
45-54,B,50-74K,Homeowner,1 Adult Kids,3,2,831,8831.350000000006,166,83,53.200903614457864
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,383,5763.440000000005,150,77,38.42293333333337
25-34,U,50-74K,Unknown,Single Male,1,None/Unknown,1997,4295.680000000002,67,47,64.11462686567167
45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,52,5487.280000000003,139,78,39.47683453237413
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,2351,16616.78,322,88,51.604906832298134
19-24,U,Under 15K,Unknown,Unknown,1,None/Unknown,1927,5097.280000000002,98,50,52.01306122448981
35-44,B,35-49K,Homeowner,1 Adult Kids,2,1,979,12854.660000000018,205,88,62.70565853658545
19-24,U,35-49K,Unknown,Single Male,1,None/Unknown,2254,1270.3500000000004,80,51,15.879375000000005
35-44,U,15-24K,Unknown,Single Female,1,None/Unknown,622,2384.37,147,71,16.22020408163265
55-64,A,35-49K,Unknown,2 Adults Kids,3,1,670,5685.670000000003,192,87,29.612864583333348
55-64,U,75-99K,Homeowner,Single Female,1,None/Unknown,1726,8131.910000000005,182,86,44.680824175824206
19-24,U,35-49K,Unknown,Single Male,1,None/Unknown,1481,3298.7700000000004,164,71,20.114451219512198
55-64,B,25-34K,Homeowner,Single Male,1,None/Unknown,2194,7169.780000000006,404,98,17.746980198019816
25-34,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1926,2145.7100000000005,73,52,29.393287671232883
35-44,B,75-99K,Homeowner,2 Adults Kids,3,1,1928,2328.3700000000003,114,79,20.42429824561404
25-34,U,Under 15K,Unknown,2 Adults Kids,5+,3+,1174,2156.65,122,51,17.677459016393442
45-54,A,25-34K,Unknown,2 Adults Kids,3,1,1452,1884.05,374,93,5.037566844919786
45-54,A,50-74K,Homeowner,1 Adult Kids,4,2,350,3083.2500000000005,103,62,29.93446601941748
19-24,A,35-49K,Renter,2 Adults Kids,3,1,586,5822.640000000003,211,85,27.59545023696684
45-54,A,75-99K,Homeowner,2 Adults Kids,3,1,2307,6009.240000000003,179,92,33.57117318435756
35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,764,3196.780000000001,112,47,28.54267857142858
55-64,A,50-74K,Homeowner,Unknown,2,None/Unknown,660,7954.280000000007,168,70,47.3469047619048
45-54,U,15-24K,Unknown,Single Female,1,None/Unknown,1178,5022.280000000001,212,97,23.690000000000005
25-34,U,35-49K,Unknown,2 Adults Kids,3,1,1084,2363.16,225,78,10.502933333333333
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,1696,2640.01,62,46,42.58080645161291
25-34,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,114,3315.630000000001,88,64,37.677613636363645
45-54,U,15-24K,Unknown,2 Adults Kids,4,2,1540,3598.690000000001,143,64,25.165664335664342
45-54,U,25-34K,Unknown,2 Adults Kids,3,1,121,2225.580000000001,112,47,19.871250000000007
35-44,U,50-74K,Homeowner,Single Male,1,None/Unknown,1485,2187.8800000000006,66,49,33.149696969696976
65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,346,5351.410000000003,124,75,43.15653225806454
55-64,U,50-74K,Unknown,Unknown,1,None/Unknown,493,4925.560000000001,196,75,25.13040816326531
25-34,B,35-49K,Homeowner,1 Adult Kids,3,2,1226,6237.460000000003,76,58,82.0718421052632
45-54,U,35-49K,Unknown,Single Female,1,None/Unknown,282,4162.560000000002,110,71,37.84145454545457
45-54,A,150-174K,Homeowner,2 Adults Kids,5+,3+,46,8433.430000000004,137,70,61.55788321167886
45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,2453,4551.680000000002,110,62,41.37890909090911
35-44,A,50-74K,Probable Owner,2 Adults No Kids,2,None/Unknown,438,4456.520000000001,67,47,66.51522388059703
35-44,U,75-99K,Homeowner,Unknown,1,None/Unknown,1297,2733.28,147,63,18.59374149659864
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,992,823.3500000000001,102,41,8.072058823529414
45-54,A,35-49K,Renter,2 Adults Kids,5+,3+,2292,1336.1400000000003,116,37,11.518448275862072
25-34,U,35-49K,Unknown,Single Male,1,None/Unknown,986,1827.8700000000003,90,64,20.309666666666672
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,1031,4232.120000000003,146,47,28.987123287671253
65+,B,125-149K,Unknown,2 Adults No Kids,2,None/Unknown,2397,1095.1000000000001,35,22,31.288571428571434
45-54,U,50-74K,Homeowner,Single Female,1,None/Unknown,527,3581.5200000000013,130,84,27.550153846153858
55-64,A,50-74K,Homeowner,1 Adult Kids,5+,3+,993,3064.8700000000003,126,72,24.324365079365084
45-54,U,15-24K,Unknown,Single Female,1,None/Unknown,915,970.1100000000001,119,71,8.152184873949581
35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,574,6753.54,120,79,56.2795
45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,534,1315.4400000000003,465,86,2.828903225806452
45-54,U,100-124K,Unknown,Single Female,1,None/Unknown,1228,14503.890000000001,797,101,18.198105395232123
35-44,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,1352,5398.950000000004,138,75,39.12282608695655
35-44,U,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,2296,13404.830000000016,230,81,58.28186956521746
45-54,U,35-49K,Homeowner,2 Adults Kids,3,1,1901,11462.24000000001,852,94,13.453333333333346
25-34,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,2173,2177.5200000000004,86,40,25.320000000000004
35-44,U,Under 15K,Unknown,2 Adults No Kids,2,None/Unknown,411,6697.210000000004,158,66,42.38740506329116
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,2086,6269.540000000004,575,88,10.903547826086962
35-44,B,25-34K,Unknown,Single Female,1,None/Unknown,598,3354.9000000000015,213,84,15.75070422535212
25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,889,12983.010000000007,216,89,60.10652777777781
25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,2124,7859.4100000000035,240,91,32.747541666666685
35-44,A,150-174K,Homeowner,2 Adults Kids,3,1,817,4801.850000000001,147,74,32.66564625850341
35-44,U,15-24K,Homeowner,2 Adults Kids,3,1,2280,12332.910000000014,228,90,54.09171052631585
65+,U,15-24K,Unknown,Single Female,1,None/Unknown,1917,6788.000000000007,291,100,23.32646048109968
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1421,5535.2,218,97,25.390825688073395
45-54,B,35-49K,Renter,Single Female,1,None/Unknown,1429,818.5600000000001,83,54,9.862168674698795
35-44,A,25-34K,Homeowner,2 Adults Kids,5+,3+,2050,5193.219999999999,160,82,32.45762499999999
25-34,U,150-174K,Homeowner,2 Adults Kids,3,1,888,8689.010000000007,79,64,109.98746835443048
45-54,U,35-49K,Unknown,Unknown,1,None/Unknown,2445,6546.050000000001,217,81,30.16612903225807
45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,553,7259.090000000007,265,87,27.392792452830218
45-54,U,15-24K,Renter,Single Male,1,None/Unknown,1567,2124.2300000000005,155,65,13.704709677419357
35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,358,12729.340000000018,371,85,34.31088948787067
65+,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,644,3772.030000000003,214,79,17.626308411214968
45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,131,6156.220000000002,354,92,17.390451977401135
25-34,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,2361,4528.710000000001,90,61,50.31900000000001
35-44,A,15-24K,Homeowner,2 Adults Kids,5+,3+,2097,8823.830000000002,202,79,43.682326732673275
45-54,A,50-74K,Homeowner,1 Adult Kids,5+,3+,1186,6060.380000000004,79,55,76.713670886076
19-24,A,50-74K,Homeowner,2 Adults Kids,3,1,1803,14420.900000000003,216,95,66.76342592592594
45-54,B,100-124K,Homeowner,Unknown,1,None/Unknown,2087,7832.740000000008,227,93,34.50546255506612
55-64,U,75-99K,Homeowner,Single Male,1,None/Unknown,1831,5562.060000000003,166,72,33.506385542168694
35-44,U,150-174K,Unknown,2 Adults No Kids,2,None/Unknown,1443,2221.48,182,67,12.205934065934066
55-64,B,35-49K,Homeowner,Single Male,1,None/Unknown,1749,4209.350000000002,122,67,34.50286885245903
65+,A,15-24K,Homeowner,Single Female,2,None/Unknown,2465,2089.29,165,79,12.662363636363636
35-44,A,25-34K,Homeowner,Single Female,2,None/Unknown,71,3376.0299999999997,90,63,37.51144444444444
25-34,U,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,2479,14279.700000000012,136,80,104.99779411764715
25-34,U,100-124K,Unknown,Single Female,1,None/Unknown,1378,6933.7199999999975,121,79,57.30347107438015
35-44,B,75-99K,Renter,Single Male,1,None/Unknown,1975,17548.269999999993,363,96,48.34234159779612
45-54,A,15-24K,Unknown,2 Adults Kids,4,2,1014,4199.760000000001,161,77,26.085465838509325
45-54,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown,693,6378.800000000005,209,81,30.52057416267945
35-44,A,50-74K,Homeowner,2 Adults Kids,3,1,823,2590.1500000000005,117,59,22.138034188034194
25-34,B,50-74K,Unknown,Single Male,1,None/Unknown,1907,8939.500000000011,388,75,23.039948453608275
35-44,A,200-249K,Homeowner,2 Adults Kids,3,1,871,10435.96000000001,132,74,79.0603030303031
35-44,U,150-174K,Probable Owner,Single Female,1,None/Unknown,389,14880.920000000006,271,85,54.91114391143913
35-44,U,75-99K,Unknown,Unknown,1,None/Unknown,2250,2333.1600000000003,68,50,34.31117647058824
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,218,9211.720000000005,164,79,56.16902439024393
45-54,A,25-34K,Renter,Single Male,2,None/Unknown,2012,8535.060000000005,303,85,28.168514851485163
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,1865,6651.930000000005,161,92,41.31633540372674
45-54,A,250K+,Homeowner,2 Adults No Kids,2,None/Unknown,1844,1523.7999999999997,83,58,18.35903614457831
45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+,1018,2138.5900000000006,167,75,12.805928143712578
55-64,B,35-49K,Homeowner,Single Female,1,None/Unknown,856,5080.040000000002,182,75,27.912307692307703
45-54,A,Under 15K,Homeowner,2 Adults Kids,3,1,2082,5082.4100000000035,191,77,26.609476439790594
35-44,B,35-49K,Renter,2 Adults No Kids,2,None/Unknown,1060,6096.93,64,58,95.26453125
45-54,U,50-74K,Unknown,1 Adult Kids,2,1,1248,9091.290000000006,158,79,57.53981012658232
45-54,A,15-24K,Homeowner,1 Adult Kids,3,1,596,2996.370000000001,113,69,26.51654867256638
65+,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,1492,1226.2900000000002,95,72,12.908315789473686
45-54,A,75-99K,Unknown,Single Female,2,None/Unknown,491,4835.710000000003,124,70,38.997661290322604
35-44,B,25-34K,Probable Owner,Single Female,1,None/Unknown,386,4676.430000000002,281,80,16.64209964412812
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1545,3948.530000000001,174,80,22.692701149425293
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,680,3513.0200000000013,96,59,36.59395833333335
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,193,4814.660000000001,136,67,35.401911764705886
35-44,A,50-74K,Renter,2 Adults Kids,4,2,647,6326.740000000005,129,70,49.04449612403105
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1247,6639.950000000005,123,75,53.98333333333338
45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,2111,2590.3700000000003,123,74,21.059918699186994
55-64,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,1428,4911.530000000002,164,73,29.948353658536593
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1142,15178.960000000014,284,97,53.447042253521175
65+,U,Under 15K,Renter,Single Male,1,None/Unknown,1964,1990.1199999999997,68,57,29.26647058823529
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,2094,3055.520000000001,75,55,40.74026666666668
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,1001,4082.0000000000023,90,51,45.35555555555558
25-34,A,50-74K,Homeowner,Single Female,2,None/Unknown,1175,7403.510000000006,135,76,54.840814814814856
25-34,A,15-24K,Homeowner,Single Female,2,None/Unknown,109,3501.0700000000006,104,65,33.66413461538462
25-34,A,35-49K,Homeowner,2 Adults Kids,5+,3+,1785,1555.7,75,52,20.74266666666667
25-34,B,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,2058,5970.570000000003,167,91,35.75191616766469
35-44,A,250K+,Homeowner,2 Adults Kids,3,1,392,11443.970000000016,104,73,110.03817307692323
25-34,A,100-124K,Renter,1 Adult Kids,4,2,1557,6528.360000000004,195,82,33.47876923076925
45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,208,4296.330000000003,140,80,30.688071428571448
25-34,U,35-49K,Unknown,Single Female,1,None/Unknown,2088,4905.710000000001,109,71,45.0065137614679
45-54,B,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,1791,2970.100000000001,140,68,21.215000000000007
25-34,U,15-24K,Unknown,Single Male,1,None/Unknown,1164,4689.350000000003,104,72,45.089903846153874
35-44,B,15-24K,Homeowner,2 Adults Kids,5+,3+,43,884.84,106,57,8.347547169811321
25-34,A,125-149K,Homeowner,2 Adults Kids,3,1,2406,4860.810000000001,138,82,35.22326086956523
35-44,A,35-49K,Homeowner,1 Adult Kids,3,1,2302,1960.24,74,54,26.48972972972973
25-34,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1076,2241.0099999999998,86,54,26.058255813953487
25-34,A,15-24K,Homeowner,2 Adults Kids,3,1,1680,2039.6800000000003,51,40,39.993725490196084
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,2330,5683.3600000000015,73,47,77.85424657534249
45-54,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,1815,4405.470000000001,89,51,49.499662921348325
25-34,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,2498,2601.600000000001,172,67,15.125581395348842
55-64,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,996,2220.8500000000004,139,75,15.977338129496406
25-34,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,290,5524.340000000001,290,74,19.049448275862073
35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown,1474,2445.87,72,46,33.970416666666665
45-54,B,75-99K,Homeowner,Single Male,1,None/Unknown,2483,1770.9099999999996,83,56,21.336265060240958
45-54,A,15-24K,Homeowner,2 Adults Kids,5+,3+,201,1435.1699999999998,48,29,29.899374999999996
65+,U,125-149K,Homeowner,2 Adults Kids,3,1,779,3918.280000000001,86,48,45.56139534883722
65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1804,10251.190000000008,311,87,32.96202572347269
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,2182,1530.52,85,62,18.006117647058822
55-64,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,1081,10201.550000000017,139,77,73.39244604316559
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,1677,12559.61000000002,193,91,65.07569948186539
25-34,U,15-24K,Unknown,Single Male,1,None/Unknown,1004,3708.7200000000016,253,83,14.658972332015816
65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,947,2305.5100000000007,221,91,10.432171945701361
35-44,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,675,4832.380000000001,223,79,21.669865470852024
45-54,U,125-149K,Homeowner,Unknown,5+,3+,1834,3769.4999999999995,135,62,27.922222222222217
45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,149,11920.930000000011,215,70,55.44618604651168
35-44,A,150-174K,Homeowner,2 Adults Kids,3,1,400,18494.13999999998,310,85,59.6585161290322
45-54,U,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,1158,2903.2000000000007,219,80,13.256621004566213
45-54,U,50-74K,Unknown,Single Female,1,None/Unknown,1812,1948.99,104,60,18.740288461538462
35-44,A,35-49K,Probable Owner,1 Adult Kids,3,1,543,3697.5499999999984,104,82,35.55336538461537
25-34,U,35-49K,Unknown,2 Adults Kids,4,2,852,1943.7300000000005,95,58,20.46031578947369
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,1159,4468.630000000003,233,61,19.178669527897007
45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1382,3082.4700000000007,116,69,26.573017241379315
65+,B,100-124K,Homeowner,Single Female,1,None/Unknown,1364,2466.05,145,81,17.007241379310347
25-34,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1190,3327.02,253,85,13.150276679841896
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1633,10162.78000000001,219,92,46.405388127853925
45-54,U,15-24K,Unknown,Single Female,1,None/Unknown,1270,3455.3200000000015,73,47,47.333150684931525
55-64,U,25-34K,Renter,2 Adults Kids,3,1,1130,6563.1500000000015,362,98,18.130248618784535
35-44,U,50-74K,Homeowner,2 Adults Kids,4,2,1167,6798.7900000000045,150,80,45.3252666666667
25-34,U,50-74K,Unknown,Single Female,1,None/Unknown,859,7074.200000000006,194,89,36.46494845360828
19-24,B,Under 15K,Renter,1 Adult Kids,2,1,1305,7552.930000000005,373,74,20.249142091152827
35-44,A,35-49K,Homeowner,2 Adults Kids,4,2,301,7211.680000000003,81,60,89.03308641975312
45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,939,5254.66,154,68,34.12116883116883
45-54,U,35-49K,Unknown,Unknown,1,None/Unknown,922,3336.990000000002,150,72,22.246600000000015
25-34,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,949,5799.970000000003,134,71,43.28335820895525
35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,1021,2086.120000000001,99,50,21.0719191919192
45-54,U,125-149K,Homeowner,1 Adult Kids,5+,3+,1864,16941.579999999987,164,81,103.30231707317066
35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1070,5187.130000000002,177,80,29.30581920903956
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,2380,5018.780000000001,177,75,28.354689265536727
35-44,A,50-74K,Unknown,Single Male,2,None/Unknown,1911,1601.2700000000002,124,71,12.913467741935486
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,22,6256.040000000002,136,86,46.00029411764707
19-24,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,1147,3779.3600000000006,57,35,66.30456140350879
65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,2221,2301.4,113,79,20.36637168141593
55-64,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,715,3712.1400000000003,178,76,20.854719101123596
25-34,A,35-49K,Homeowner,2 Adults Kids,5+,3+,354,8729.870000000008,157,81,55.60426751592362
35-44,U,35-49K,Unknown,2 Adults Kids,3,1,418,6960.960000000006,256,85,27.191250000000025
25-34,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown,484,2964.510000000001,137,71,21.6387591240876
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,1113,4391.300000000002,176,77,24.950568181818195
55-64,A,25-34K,Homeowner,Single Female,2,None/Unknown,134,5535.090000000002,86,57,64.361511627907
45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,882,4609.8,240,73,19.2075
45-54,A,100-124K,Homeowner,Single Female,2,None/Unknown,784,3117.6600000000008,134,76,23.26611940298508
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,699,10353.000000000011,150,78,69.02000000000007
45-54,A,Under 15K,Homeowner,2 Adults Kids,4,2,101,6651.580000000001,242,75,27.485867768595046
45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,731,3151.3100000000004,233,68,13.524935622317598
35-44,U,15-24K,Homeowner,Single Female,1,None/Unknown,864,7892.970000000003,109,78,72.41256880733948
25-34,U,Under 15K,Unknown,1 Adult Kids,2,1,788,7514.200000000006,295,83,25.47186440677968
45-54,U,175-199K,Homeowner,Single Male,1,None/Unknown,2322,23646.919999999904,323,91,73.2102786377706
35-44,U,15-24K,Renter,2 Adults Kids,4,2,1299,5959.570000000002,192,86,31.039427083333347
25-34,B,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,2024,4956.990000000003,99,59,50.070606060606096
45-54,U,35-49K,Probable Renter,Unknown,1,None/Unknown,606,3323.120000000001,97,62,34.25896907216496
45-54,U,175-199K,Unknown,Single Female,1,None/Unknown,1847,2678.7100000000005,103,60,26.0068932038835
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,1536,6960.190000000005,164,78,42.4401829268293
65+,A,100-124K,Homeowner,Single Female,2,None/Unknown,1389,2841.1600000000003,41,32,69.29658536585367
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,385,2929.7200000000007,41,28,71.45658536585367
55-64,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,1053,4616.420000000002,96,69,48.08770833333335
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,624,6003.470000000003,160,78,37.52168750000002
25-34,B,50-74K,Homeowner,Unknown,1,None/Unknown,2360,9394.580000000004,343,91,27.389446064139953
45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+,920,5887.360000000002,238,82,24.736806722689085
25-34,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1527,17295.179999999997,321,97,53.879065420560735
45-54,U,75-99K,Homeowner,Single Male,1,None/Unknown,2011,1367.34,104,67,13.147499999999999
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,220,2525.24,91,62,27.749890109890107
25-34,U,25-34K,Unknown,2 Adults Kids,3,1,875,1473.27,68,54,21.665735294117646
45-54,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,353,3799.200000000002,125,63,30.393600000000017
35-44,U,25-34K,Unknown,Single Female,1,None/Unknown,2186,5469.530000000004,113,58,48.40292035398234
55-64,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,1499,2106.0899999999997,89,58,23.66393258426966
45-54,U,Under 15K,Unknown,Single Female,1,None/Unknown,253,10993.710000000008,385,92,28.555090909090932
45-54,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,2314,5078.050000000004,86,64,59.04709302325586
19-24,U,35-49K,Homeowner,2 Adults Kids,4,2,306,5716.730000000002,185,76,30.901243243243254
35-44,A,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,222,5897.900000000003,130,76,45.36846153846157
45-54,U,175-199K,Homeowner,2 Adults Kids,3,1,2235,3824.8700000000013,89,50,42.97606741573035
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,158,1869.79,180,80,10.387722222222221
35-44,U,50-74K,Unknown,Unknown,1,None/Unknown,1692,2017.1800000000005,150,72,13.44786666666667
25-34,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1778,9336.300000000005,259,88,36.04749034749037
35-44,B,75-99K,Homeowner,Single Female,1,None/Unknown,2030,2628.1000000000004,90,55,29.201111111111114
35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+,332,5519.020000000001,118,73,46.7713559322034
65+,U,Under 15K,Homeowner,Single Female,1,None/Unknown,1797,5551.490000000002,115,77,48.27382608695653
19-24,U,Under 15K,Unknown,Single Female,1,None/Unknown,946,2530.4500000000007,136,70,18.606250000000006
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1556,3799.800000000001,138,78,27.53478260869566
35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+,1990,4593.260000000001,131,75,35.06305343511451
25-34,U,75-99K,Unknown,Single Male,1,None/Unknown,1946,3312.460000000002,49,44,67.60122448979595
19-24,U,25-34K,Unknown,Single Female,1,None/Unknown,432,3486.5500000000006,257,89,13.566342412451364
55-64,A,35-49K,Homeowner,Single Male,2,None/Unknown,1291,3290.010000000001,103,75,31.941844660194185
45-54,A,75-99K,Homeowner,2 Adults Kids,4,2,1764,11412.200000000012,135,60,84.53481481481491
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,377,3166.450000000001,133,70,23.807894736842115
35-44,A,25-34K,Homeowner,2 Adults Kids,3,1,2400,14681.320000000009,391,84,37.54813299232739
35-44,A,125-149K,Homeowner,2 Adults Kids,4,2,248,6039.010000000004,57,41,105.94754385964919
25-34,U,125-149K,Homeowner,2 Adults Kids,4,2,2185,8550.730000000007,106,68,80.66726415094347
19-24,U,Under 15K,Unknown,Single Female,1,None/Unknown,2318,10685.720000000001,366,77,29.19595628415301
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,722,6437.620000000002,136,75,47.3354411764706
45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,264,1783.0700000000004,61,51,29.230655737704925
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,2489,9403.42000000001,139,73,67.65050359712237
25-34,U,50-74K,Homeowner,Single Male,1,None/Unknown,2119,2295.16,44,35,52.16272727272727
35-44,U,25-34K,Unknown,Single Female,1,None/Unknown,1003,2588.7300000000014,63,39,41.0909523809524
65+,A,15-24K,Homeowner,Single Female,2,None/Unknown,412,2426.2999999999997,112,68,21.663392857142856
45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,2407,6665.219999999999,179,80,37.235865921787706
65+,B,25-34K,Unknown,Single Female,1,None/Unknown,1494,2595.090000000001,85,45,30.530470588235307
45-54,U,Under 15K,Unknown,Unknown,1,None/Unknown,1306,3041.6900000000014,171,70,17.78766081871346
19-24,B,35-49K,Renter,Single Female,1,None/Unknown,1923,4870.310000000003,167,83,29.163532934131755
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,770,2246.36,43,28,52.24093023255814
35-44,A,100-124K,Homeowner,2 Adults Kids,4,2,708,2828.0600000000013,68,55,41.58911764705884
35-44,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,1894,2335.4700000000007,42,34,55.60642857142859
35-44,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,2447,7520.940000000006,132,65,56.976818181818224
65+,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,2272,2244.1699999999996,70,34,32.059571428571424
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,2448,9300.730000000009,205,95,45.36941463414638
